순위,분,신,종목코드,종목명,현재가,전일대비,,등락률,매도잔량,매수잔량,거래량,체결강도,횟수,L일봉H
51,신,,065950,웰크론,"4,520",▲,205,4.75,"11,669","33,793","7,975,345",80.15,3,4305 5140 4305 4520
52,증,,150840,인트로메딕,"3,770",▲,170,4.72,"69,193","29,588","1,117,163",148.48,3,3605 3835 3605 3770
53,증,,033180,KH 필룩스,"3,400",▲,150,4.62,"65,601","71,792","8,134,638",94.23,1,3270 3590 3270 3400
54,신,,038070,서린바이오,"31,700",▲,"1,400",4.62,"12,255","23,480","3,319,580",79.11,1,30400 35200 30400 31700
55,,,094850,참좋은여행,"15,850",▲,650,4.28,"42,184","71,682","2,887,763",102.35,1,15550 17200 15450 15850
56,신,,137310,에스디바이오센서,"44,600",▲,"1,800",4.21,"12,890","30,338","2,570,810",95.38,2,42900 46750 42900 44600
57,신,,005950,이수화학,"15,350",▲,600,4.07,"323,475","69,012","1,535,492",101.39,1,15100 15600 14750 15350
58,신,,047310,파워로직스,"10,000",▲,390,4.06,"702,455","117,386","9,645,282",111.7,1,9810 10550 9700 10000
59,신,,003490,대한항공,"32,450",▲,"1,250",4.01,"743,251","149,589","6,655,900",239.19,1,31600 32650 31550 32450
60,,,007980,태평양물산,"2,730",▲,105,4,"164,325","87,256","1,437,939",153.5,1,2625 2735 2625 2730
61,펀,,228800,TIGER 여행레저,"5,720",▲,220,4,"208,460","137,416","1,827,727",169.63,1,5540 5740 5540 5720
62,,,032350,롯데관광개발,"20,900",▲,800,3.98,"133,916","67,809","1,644,996",234.72,3,20350 21300 20250 20900
63,,,020560,아시아나항공,"25,100",▲,950,3.93,"230,166","68,810","2,290,681",145.34,2,24400 25200 24150 25100
64,증,,194480,데브시스터즈,"119,500",▲,"4,500",3.91,"4,268","2,053","3,002,784",82.94,2,121500 134400 109600 119500
65,신,,082640,동양생명,"6,920",▲,260,3.9,"88,027","12,288","1,037,076",129.88,5,6620 6960 6530 6920
66,신,,015860,일진홀딩스,"6,830",▲,250,3.8,"39,126","49,839","1,421,839",96.82,1,6610 6930 6610 6830
67,,,208710,바이오로그디바이스,"4,540",▲,160,3.65,"95,757","12,735","3,234,032",87.44,1,4400 4560 4255 4540
68,신,,047820,초록뱀미디어,"2,590",▲,90,3.6,"334,710","222,465","2,830,718",144.21,1,2525 2625 2520 2590
69,신,,005880,대한해운,"2,930",▲,100,3.53,"161,122","80,886","1,704,780",165.05,1,2835 2950 2835 2930
70,신,,028670,팬오션,"7,490",▲,250,3.45,"204,564","177,356","7,156,750",124.9,3,7360 7620 7350 7490
71,신,,034020,두산중공업,"21,000",▲,700,3.45,"445,083","243,779","3,757,880",135.36,1,20400 21300 20400 21000
72,신,,047050,포스코인터내셔널,"24,000",▲,800,3.45,"173,464","65,006","1,797,169",137.1,2,23450 24450 23350 24000
73,신,,069730,DSR제강,"10,650",▲,350,3.4,"110,309","45,423","1,707,553",92.85,2,10300 10650 9700 10650
74,신,,079160,CJ CGV,"32,150",▲,"1,050",3.38,"111,284","34,808","1,015,139",192.01,1,31450 32450 31450 32150
75,,,007390,네이처셀,"22,150",▲,700,3.26,"56,136","36,840","1,407,398",139.01,2,21050 22600 21050 22150
76,신,,002780,진흥기업,"2,350",▲,70,3.07,"397,514","119,170","1,304,352",107.57,1,2280 2375 2280 2350
77,,,357580,아모센스,"25,400",▲,750,3.04,"52,153","43,425","4,368,966",95.05,4,24400 26100 23300 25400
78,신,,069080,웹젠,"29,000",▲,850,3.02,"7,055","24,575","1,637,723",69.08,1,30700 31100 28950 29000
79,,,090150,광진윈텍,"9,270",▲,260,2.89,"13,073","10,836","2,878,945",87.33,1,8770 10550 8730 9270
80,신,,094820,일진파워,"12,650",▲,350,2.85,"59,562","79,198","2,173,334",93.61,1,12450 13300 12400 12650
81,펀,,371460,TIGER 차이나전기차SOLACTIVE,"18,095",▲,485,2.75,"10,457","31,641","15,041,915",168.58,1,17730 18385 17480 18095
82,신,,126640,화신정공,"3,010",▲,80,2.73,"158,607","109,591","41,580,859",76.1,2,3250 3400 2940 3010
83,신,,025980,아난티,"11,400",▲,300,2.7,"828,269","426,670","3,168,340",171.92,1,11150 11650 11150 11400
84,신,,034230,파라다이스,"17,350",▲,450,2.66,"249,265","94,823","1,795,081",155.85,1,16900 17400 16850 17350
85,증,,500019,신한 레버리지 WTI원유 선물 ETN(H),775,▲,20,2.65,"4,095,576","4,017,191","1,882,616",238.87,2,765 775 760 775
86,신,,012800,대창,"2,345",▲,60,2.63,"234,667","87,618","3,701,991",80.34,1,2290 2395 2255 2345
87,신,,086790,하나금융지주,"45,150",▲,"1,150",2.61,"53,635","39,113","1,536,203",218.02,2,44500 45650 44450 45150
88,신,,066970,엘앤에프,"153,800",▲,"3,900",2.6,"12,662","19,160","2,698,539",91.85,6,150400 157300 144800 153800
89,,,043910,자연과환경,"2,015",▲,50,2.54,"165,746","97,858","1,065,020",171.43,1,1965 2030 1955 2015
90,신,,007110,일신석재,"2,670",▲,65,2.5,"143,731","68,289","1,546,824",106.1,1,2615 2700 2600 2670
91,신,,122900,아이마켓코리아,"12,400",▲,300,2.48,"83,422","82,181","1,146,649",108.46,1,12300 12650 12200 12400
92,신,,010140,삼성중공업,"6,630",▲,160,2.47,"942,872","258,913","6,838,268",188.54,3,6490 6640 6480 6630
93,증,,051980,중앙디앤엠,"1,675",▲,40,2.45,"206,019","112,730","3,419,455",75.28,3,1685 1765 1610 1675
94,펀,,233740,KODEX 코스닥150 레버리지,"16,325",▲,390,2.45,"46,474","48,207","5,889,622",137.44,1,15975 16450 15925 16325
95,신,,001520,동양,"1,680",▲,40,2.44,"207,560","153,299","1,054,789",120.58,1,1635 1690 1635 1680
96,신,,013360,일성건설,"5,890",▲,140,2.43,"347,000","103,324","13,670,857",98.49,5,5680 5910 5480 5890
97,신,,017550,수산중공업,"2,945",▲,65,2.26,"30,285","60,529","1,206,226",137.43,1,2830 2965 2795 2945
98,증,,086890,이수앱지스,"16,300",▲,350,2.19,"124,701","63,790","1,181,847",98.15,1,15950 16400 15050 16300
99,신,,248070,솔루엠,"30,850",▲,650,2.15,"160,555","58,595","1,056,000",168.23,7,30200 31150 30050 30850
100,증,,530031,삼성 레버리지 WTI원유 선물 ETN,950,▲,20,2.15,"6,583,555","6,470,938","2,799,417",187.18,2,940 950 935 950
